nome,cpf,idade,data,endereco,bairro,estado
Esther Borges,745.***.*** - 84,0.0,2017-02-19,"passarela viana, 5
araguaia
98001-127 guerra verde / pb",araguaia,PB
Anthony Gabriel Duarte,489.***.*** - 64,0.0,,"ladeira heloísa rezende, 7
guaratã
23161-177 da cunha / al",guaratã,AL
Camila Lima,462.***.*** - 90,-1.0,2012-12-23,"colônia igor leão, 2
vila mangueiras
28320954 caldeira / pa",vila mangueiras,PA
Otávio Almeida,352.***.*** - 65,0.0,2007-02-20,"rua de andrade, 43
são cristóvão
93878755 alves da mata / al",são cristóvão,AL
Raul Fonseca,476.***.*** - 46,-1.0,2011-10-31,"favela melissa sampaio, 668
jardim américa
67301-120 macedo / pe",jardim américa,PE
Sr. Breno Da Cruz,758.***.*** - 79,0.0,2007-03-26,Endereço inválido,Desconhecido,Desconhecido
Dra. Ana Júlia Farias,219.***.*** - 34,0.0,2011-08-24,"viaduto caldeira, 9
jardim alvorada
86270-555 vasconcelos / ba",jardim alvorada,BA
Noah Aragão,470.***.*** - 10,-1.0,2017-10-14,Desconhecido,luxemburgo,SP
Gustavo Borges,640.***.*** - 66,0.0,2019-05-20,"trecho de lopes, 59
união
85921619 caldeira grande / pb",união,PB
Sr. Thiago Ramos,840.***.*** - 84,0.0,2015-08-22,Desconhecido,vila independencia 1ª seção,MS
Kaique Casa Grande,041.***.*** - 01,-1.0,2015-10-20,"residencial da cunha
alto dos pinheiros
91451-490 pacheco / ba",alto dos pinheiros,BA
Maria Helena Freitas,812.***.*** - 12,0.0,2019-05-26,"núcleo pimenta, 79
lajedo
53720226 gonçalves do galho / sp",lajedo,SP
Danilo Lopes,579.***.*** - 75,-1.0,2018-11-24,"núcleo de costa, 67
barão homem de melo 3ª seção
66072807 câmara / ms",barão homem de melo 3ª seção,MS
Giovanna Rios,392.***.*** - 15,-1.0,2017-11-09,"travessa teixeira, 2
conjunto serra verde
33690753 barbosa / ms",conjunto serra verde,MS
Sr. Mathias Freitas,941.***.*** - 13,0.0,2019-07-14,Desconhecido,santo agostinho,PE
Gustavo Henrique Gomes,423.***.*** - 78,0.0,2017-04-15,"praia de lima, 6
santa rita de cássia
01834-448 pinto / mg",santa rita de cássia,MG
Marina Carvalho,571.***.*** - 80,-1.0,2018-12-12,Desconhecido,flavio de oliveira,SC
José Pedro Ferreira,259.***.*** - 88,0.0,2014-11-01,Desconhecido,nossa senhora da conceição,MT
Sra. Ana Júlia Costela,205.***.*** - 95,-1.0,2010-10-28,"praça da costa
estoril
67410854 costa / pa",estoril,PA
Sr. Emanuel Castro,485.***.*** - 24,0.0,2012-03-23,"esplanada vasconcelos, 2
mirante
14152-482 da conceição de goiás / rn",mirante,RN
Joana Pires,164.***.*** - 35,0.0,2005-10-05,"quadra de rodrigues, 92
coqueiros
58545460 ramos de goiás / pr",coqueiros,PR
Augusto Moura,640.***.*** - 01,-1.0,2010-12-18,"campo fonseca, 91
ouro minas
59125515 moura / rr",ouro minas,RR
Sr. Antony Albuquerque,501.***.*** - 02,0.0,2015-04-20,"quadra da luz
caetano furquim
26854443 rezende / mg",caetano furquim,MG
Hadassa Rodrigues,245.***.*** - 10,0.0,2009-01-04,Endereço inválido,Desconhecido,Desconhecido
Davi Rezende,196.***.*** - 20,0.0,2016-01-27,"fazenda andrade, 38
nova gameleira
59850024 lopes / sc",nova gameleira,SC
Samuel Moura,981.***.*** - 51,0.0,2019-05-17,"rodovia cunha, 53
mantiqueira
27547950 pimenta do oeste / am",mantiqueira,AM
Apollo Cardoso,396.***.*** - 37,0.0,2006-08-07,"recanto melina leão, 58
vila maria
32636627 caldeira de sousa / ap",vila maria,AP
Bernardo Guerra,679.***.*** - 43,-1.0,2018-10-16,Desconhecido,virgínia,RO
Alícia Da Conceição,501.***.*** - 02,0.0,2007-08-27,Desconhecido,barão homem de melo 3ª seção,CE
Helena Porto,362.***.*** - 98,-1.0,2017-12-28,Endereço inválido,Desconhecido,Desconhecido
Maria Vitória Da Mata,289.***.*** - 29,0.0,2014-04-29,Endereço inválido,Desconhecido,Desconhecido
Luiz Henrique Pinto,042.***.*** - 60,0.0,2006-03-19,"passarela pacheco, 64
vila da paz
56659117 sá de camargo / ac",vila da paz,AC
Benício Novaes,290.***.*** - 97,0.0,2013-05-01,"morro oliveira, 37
xangri-lá
11240571 moura de teixeira / pe",xangri-lá,PE
Sr. Theo Araújo,560.***.*** - 00,0.0,2016-09-04,"esplanada maria alice cunha, 76
marmiteiros
33935183 nogueira / go",marmiteiros,GO
Gustavo Da Luz,923.***.*** - 28,0.0,2008-03-04,"sítio alexandre correia
são joão batista
29634-188 leão / sc",são joão batista,SC
,673.***.*** - 52,0.0,2014-05-17,"rua de siqueira, 93
vila minaslandia
65421659 da rosa do galho / pb",vila minaslandia,PB
Lavínia Montenegro,047.***.*** - 65,0.0,2012-07-05,"condomínio de da rocha, 10
luxemburgo
43501283 lima / al",luxemburgo,AL
Maitê Fonseca,926.***.*** - 83,-1.0,2018-12-07,Desconhecido,cidade jardim,DF
Caroline Da Rosa,769.***.*** - 02,0.0,2005-07-10,"núcleo correia, 454
vila coqueiral
36195039 brito verde / pe",vila coqueiral,PE
Sra. Maria Alice Costa,493.***.*** - 80,0.0,2015-07-13,"vale luiza teixeira, 449
eymard
66736-901 camargo do oeste / ac",eymard,AC
Lunna Fonseca,816.***.*** - 30,-1.0,2014-11-27,"parque de nascimento
mangabeiras
86171-861 sales de cassiano / rs",mangabeiras,RS
,150.***.*** - 48,0.0,2010-06-18,"vale aurora dias, 85
belmonte
71422-175 pastor de nogueira / al",belmonte,AL
Paulo Farias,504.***.*** - 60,-1.0,2005-11-14,"via de rocha, 20
vila do pombal
74700-678 moraes da mata / ma",vila do pombal,MA
Sr. Raul Ramos,695.***.*** - 67,0.0,2009-04-20,"largo de castro, 81
solimoes
02179160 macedo / rn",solimoes,RN
Leonardo Azevedo,184.***.*** - 49,0.0,2007-07-26,Endereço inválido,Desconhecido,Desconhecido
Rodrigo Vieira,657.***.*** - 02,0.0,2017-04-24,"loteamento vasconcelos, 41
camargos
48234-814 rios / rr",camargos,RR
Maria Laura Albuquerque,829.***.*** - 02,0.0,2018-01-24,"avenida amanda silva, 3
caetano furquim
00285-430 ferreira / sc",caetano furquim,SC
Davi Lucca Martins,419.***.*** - 41,0.0,2005-10-04,"chácara costela
vila calafate
82337-605 vieira / df",vila calafate,DF
Kaique Machado,103.***.*** - 40,-1.0,2007-11-14,"campo ana clara sales
beija flor
22310-851 moreira do norte / rr",beija flor,RR
Lavínia Silva,542.***.*** - 58,0.0,2009-08-10,"alameda ana luiza sá, 71
vila nova paraíso
54637282 araújo / rn",vila nova paraíso,RN
Aurora Alves,213.***.*** - 15,0.0,2018-02-23,"ladeira de da costa
grota
60633-110 carvalho / es",grota,ES
Daniela Almeida,935.***.*** - 25,0.0,2019-07-31,"trevo mendes, 8
granja de freitas
94552-263 brito do campo / ma",granja de freitas,MA
Aylla Barbosa,214.***.*** - 89,0.0,2016-05-16,"residencial de peixoto, 54
ipiranga
53303-045 siqueira de almeida / pb",ipiranga,PB
,497.***.*** - 11,-1.0,2008-11-19,"alameda silva
santa margarida
10203497 porto do oeste / rn",santa margarida,RN
João Vitor Montenegro,632.***.*** - 91,-1.0,2015-09-22,"feira de da costa, 46
esperança
68098-681 viana de santos / df",esperança,DF
Sr. Luan Pereira,564.***.*** - 08,0.0,,"vereda joão gabriel macedo, 66
cidade nova
28611607 teixeira / ce",cidade nova,CE
Stephany Da Paz,273.***.*** - 40,-1.0,2012-09-07,"colônia de castro, 35
heliopolis
75774-591 freitas de casa grande / ce",heliopolis,CE
Davi Lucas Duarte,817.***.*** - 13,0.0,2012-08-13,"setor almeida
jardim do vale
15765558 castro / pr",jardim do vale,PR
Cecilia Vasconcelos,037.***.*** - 74,0.0,2013-03-02,"recanto isabel câmara, 8
pongelupe
45986129 correia do oeste / se",pongelupe,SE
,382.***.*** - 06,0.0,2011-11-01,"fazenda de albuquerque, 39
nova cintra
70763-760 pinto de da mata / rj",nova cintra,RJ
João Vitor Cirino,650.***.*** - 24,-1.0,2018-11-14,"vale martins
esperança
60852-190 da luz do amparo / ro",esperança,RO
Srta. Ana Vitória Melo,752.***.*** - 61,-1.0,2018-09-14,"lagoa calebe mendonça, 63
luxemburgo
48785653 sampaio de leão / pr",luxemburgo,PR
Sabrina Vasconcelos,089.***.*** - 20,-1.0,2008-12-27,"trevo de cirino, 34
calafate
11564-809 vieira da praia / mg",calafate,MG
João Pedro Vasconcelos,729.***.*** - 64,0.0,,"vereda oliveira, 99
minas brasil
96943-731 souza de marques / ro",minas brasil,RO
Carlos Eduardo Caldeira,634.***.*** - 06,-1.0,2012-09-07,"residencial lopes, 15
nazare
98064-202 aparecida / rn",nazare,RN
Melissa Souza,915.***.*** - 70,-1.0,2004-12-16,"estrada garcia, 993
carmo
28413-172 cavalcante / sp",carmo,SP
Dr. Benício Da Conceição,054.***.*** - 39,0.0,2006-01-24,Desconhecido,vila independencia 2ª seção,RN
Renan Das Neves,965.***.*** - 74,-1.0,2015-10-10,"lago cardoso, 48
mariano de abreu
54559483 nogueira paulista / go",mariano de abreu,GO
Benicio Fogaça,527.***.*** - 79,0.0,2016-08-04,"residencial renan machado, 65
são marcos
56897-973 porto / rs",são marcos,RS
Gustavo Rezende,523.***.*** - 74,0.0,,"estrada da costa, 38
maria tereza
99851-352 marques / ce",maria tereza,CE
Melissa Cavalcante,321.***.*** - 22,0.0,2016-06-04,"setor de alves, 8
marçola
79728102 da cunha de peixoto / ap",marçola,AP
Luigi Andrade,196.***.*** - 66,0.0,2017-04-17,"chácara isis montenegro, 181
nova vista
96031-094 rezende / mg",nova vista,MG
Kamilly Martins,175.***.*** - 21,0.0,2018-03-04,"quadra josé pedro sá, 57
carmo
53161309 rios da serra / ap",carmo,AP
Sra. Laura Ferreira,234.***.*** - 96,0.0,2010-08-24,"favela lívia sousa
aarão reis
82593602 sá das flores / es",aarão reis,ES
Laís Castro,920.***.*** - 00,0.0,2014-05-27,"residencial lívia moraes
guaratã
23746-235 ramos das pedras / go",guaratã,GO
Yan Sales,619.***.*** - 93,0.0,2008-01-23,Desconhecido,vila suzana segunda seção,PR
Hadassa Borges,634.***.*** - 83,-1.0,2006-09-27,Endereço inválido,Desconhecido,Desconhecido
Gael Henrique Almeida,408.***.*** - 42,0.0,2014-04-23,"condomínio de cardoso, 77
são salvador
78344780 jesus / pa",são salvador,PA
João Gabriel Alves,369.***.*** - 16,0.0,,"estrada da mata, 4
araguaia
68650094 duarte das pedras / se",araguaia,SE
Henry Gabriel Da Luz,689.***.*** - 66,0.0,2010-06-22,"vila de caldeira, 47
marieta 3ª seção
16771-333 melo da serra / se",marieta 3ª seção,SE
Sra. Clara Da Mota,607.***.*** - 68,0.0,2005-02-24,"fazenda alana cunha, 96
marilandia
36049187 leão / rr",marilandia,RR
Dra. Maria Sophia Pacheco,416.***.*** - 35,0.0,2014-01-30,"rua rocha, 16
vila das oliveiras
86901-933 macedo / pa",vila das oliveiras,PA
Lorena Costa,367.***.*** - 40,0.0,2008-04-17,"largo heloisa sousa, 56
coração eucarístico
44607849 da cruz / go",coração eucarístico,GO
Dr. Vinícius Sousa,183.***.*** - 53,0.0,,"viaduto da conceição, 4
vitoria
37228-227 nascimento da praia / sp",vitoria,SP
Sr. Ian Fernandes,358.***.*** - 75,-1.0,2009-09-14,"rua de ferreira, 43
bonsucesso
31156024 pimenta de gomes / rr",bonsucesso,RR
Eduardo Almeida,903.***.*** - 15,0.0,2016-07-12,"núcleo ana liz cirino, 56
outro
05907-350 lima / mg",outro,MG
João Gabriel Melo,056.***.*** - 20,0.0,2013-08-30,"recanto luiza da costa
taquaril
69026277 machado de rodrigues / es",taquaril,ES
Oliver Freitas,178.***.*** - 57,-1.0,2007-11-20,Desconhecido,nova suíça,RS
André Ferreira,480.***.*** - 31,-1.0,2013-10-11,"aeroporto de monteiro, 82
ouro minas
02232415 garcia / pr",ouro minas,PR
,623.***.*** - 56,-1.0,2012-11-07,"rua clarice da luz, 872
são jorge 3ª seção
36344101 rodrigues / pe",são jorge 3ª seção,PE
Nicole Leão,781.***.*** - 49,0.0,2009-02-04,"praça novais, 38
araguaia
77165-090 cassiano / pi",araguaia,PI
Srta. Maria Araújo,324.***.*** - 33,0.0,2007-04-25,Desconhecido,vila independencia 3ª seção,AM
Mariah Ramos,271.***.*** - 70,0.0,,Endereço inválido,Desconhecido,Desconhecido
Anthony Gabriel Sales,689.***.*** - 00,0.0,2016-04-01,Desconhecido,aguas claras,MA
Marcela Mendonça,042.***.*** - 07,0.0,2005-05-28,"conjunto joão gabriel campos, 90
vila fumec
20731-818 araújo / df",vila fumec,DF
Lavínia Andrade,580.***.*** - 97,-1.0,2011-12-28,"vereda de fonseca, 25
aguas claras
96837-310 guerra do sul / sp",aguas claras,SP
Dra. Isadora Ramos,751.***.*** - 30,-1.0,2004-09-22,"pátio fernandes, 4
calafate
21319-771 brito / pa",calafate,PA
Manuella Ferreira,946.***.*** - 74,0.0,2012-01-29,"passarela barbosa, 1
manacas
18041840 gonçalves grande / ms",manacas,MS
Maria Isis Cavalcante,015.***.*** - 48,-1.0,2011-10-28,Desconhecido,são vicente,DF
Lucca Casa Grande,420.***.*** - 65,0.0,2013-09-01,Desconhecido,flavio marques lisboa,RR
Luana Montenegro,764.***.*** - 80,0.0,2016-01-20,Endereço inválido,Desconhecido,Desconhecido
Pedro Andrade,259.***.*** - 00,0.0,2005-04-18,Endereço inválido,Desconhecido,Desconhecido
Bento Cassiano,201.***.*** - 07,0.0,2012-02-25,"via joão felipe cirino, 7
conjunto minas caixa
24231-890 silveira / to",conjunto minas caixa,TO
Luiz Felipe Correia,784.***.*** - 69,0.0,2018-03-19,"jardim antonella peixoto, 6
ventosa
69538-259 da costa do sul / rs",ventosa,RS
Srta. Emilly Novaes,067.***.*** - 92,-1.0,2007-11-25,"campo pietra barbosa
jardim do vale
02759-731 mendonça / es",jardim do vale,ES
Cauã Das Neves,943.***.*** - 06,0.0,2013-02-27,"residencial nascimento
santa rita
98523358 das neves verde / es",santa rita,ES
,374.***.*** - 13,-1.0,2015-09-10,Endereço inválido,Desconhecido,Desconhecido
,503.***.*** - 92,0.0,2015-09-01,"viaduto lucas gabriel campos
jardim do vale
54031579 pimenta / ms",jardim do vale,MS
Sarah Ribeiro,439.***.*** - 46,0.0,2015-06-03,"vila da cruz, 5
fernão dias
48697839 sales / sc",fernão dias,SC
Dra. Mariana Siqueira,283.***.*** - 74,0.0,2008-07-19,Endereço inválido,Desconhecido,Desconhecido
Renan Pires,947.***.*** - 11,0.0,2011-05-14,"alameda de rocha, 393
conjunto celso machado
66262-784 marques / ap",conjunto celso machado,AP
Lívia Ribeiro,938.***.*** - 14,0.0,2014-12-04,"chácara de sousa, 27
vila barragem santa lúcia
43586-180 melo / pi",vila barragem santa lúcia,PI
Valentim Sales,296.***.*** - 89,0.0,2015-03-27,"estrada bruno novaes
dom bosco
83993-262 da conceição / ap",dom bosco,AP
Ana Julia Abreu,394.***.*** - 00,0.0,2008-04-13,"campo de correia, 24
são lucas
91045-401 oliveira / pi",são lucas,PI
Dra. Ana Sá,978.***.*** - 56,-1.0,2017-10-25,"quadra de teixeira, 26
atila de paiva
14688-102 azevedo / ac",atila de paiva,AC
Josué Oliveira,514.***.*** - 15,0.0,2017-01-06,"pátio nogueira, 73
são jorge 2ª seção
74906356 farias de melo / sp",são jorge 2ª seção,SP
Hadassa Aragão,693.***.*** - 55,0.0,2017-07-24,"estrada sales
vila da amizade
70106-251 borges / ac",vila da amizade,AC
Marina Das Neves,063.***.*** - 95,0.0,2006-10-01,Endereço inválido,Desconhecido,Desconhecido
,618.***.*** - 02,0.0,2019-06-18,"quadra rafaela siqueira, 6
cidade nova
01565-146 ferreira / se",cidade nova,SE
João Pedro Pinto,469.***.*** - 67,0.0,2007-06-28,"praça cardoso
castelo
35741008 nunes / pa",castelo,PA
,215.***.*** - 28,0.0,2013-05-21,"feira dias, 59
vila piratininga
75681-701 montenegro / ac",vila piratininga,AC
Camila Costa,056.***.*** - 84,0.0,2005-03-24,Desconhecido,ernesto nascimento,MS
Melissa Cavalcanti,527.***.*** - 30,-1.0,2017-11-14,Desconhecido,vila canto do sabiá,RR
,820.***.*** - 95,0.0,2007-06-07,"vereda de mendonça, 5
alpes
94717-369 da rosa / mg",alpes,MG
Lívia Leão,234.***.*** - 34,0.0,2015-07-12,"rua de monteiro, 272
são damião
67619030 campos de vieira / ma",são damião,MA
Cauã Vasconcelos,510.***.*** - 49,-1.0,2016-09-10,"praia carvalho, 59
nova cintra
39504623 garcia da praia / rr",nova cintra,RR
Alícia Rios,258.***.*** - 05,0.0,,Desconhecido,vila madre gertrudes 2ª seção,PE
João Lucas Cirino,298.***.*** - 30,0.0,2009-08-18,"jardim garcia, 79
candelaria
72027-866 da conceição / pe",candelaria,PE
Erick Pacheco,326.***.*** - 31,0.0,2007-03-24,"trevo da cunha, 26
concórdia
59158-111 vasconcelos do norte / pr",concórdia,PR
Sr. Davi Lucas Leão,529.***.*** - 82,0.0,2008-01-27,"feira fogaça, 7
carlos prates
90164585 da rosa do galho / ma",carlos prates,MA
Pedro Henrique Da Paz,954.***.*** - 48,-1.0,2007-10-16,"ladeira josé fernandes, 43
baleia
36637-729 teixeira do galho / rr",baleia,RR
Breno Mendes,870.***.*** - 20,0.0,2019-03-08,"largo de silveira, 59
são francisco das chagas
12260-027 novaes / sp",são francisco das chagas,SP
Dra. Maria Vitória Cardoso,847.***.*** - 30,0.0,2015-06-23,"viaduto de vasconcelos, 26
venda nova
46159-743 cunha / ce",venda nova,CE
Pietro Carvalho,162.***.*** - 28,0.0,2015-04-17,"parque liz da paz, 69
ouro preto
38991878 nogueira da prata / ba",ouro preto,BA
Matteo Almeida,613.***.*** - 17,0.0,2005-01-23,"pátio de ramos, 4
vila sumaré
70911869 azevedo alegre / sp",vila sumaré,SP
José Miguel Cavalcante,034.***.*** - 00,0.0,2008-07-08,"campo de santos, 51
venda nova
46534-913 lopes das flores / mt",venda nova,MT
Isadora Mendonça,107.***.*** - 62,0.0,2006-04-09,"travessa melo, 67
vila da luz
58033128 azevedo do oeste / sp",vila da luz,SP
Olivia Rezende,087.***.*** - 35,0.0,2013-08-30,Endereço inválido,Desconhecido,Desconhecido
Joaquim Souza,403.***.*** - 13,0.0,2016-03-11,"feira azevedo, 599
nova cintra
31663-976 da cruz da prata / al",nova cintra,AL
Carlos Eduardo Da Luz,905.***.*** - 11,0.0,2018-04-09,Desconhecido,cônego pinheiro 1ª seção,AP
Ravi Cavalcante,317.***.*** - 39,0.0,2016-03-10,"praça de dias, 7
castelo
23877-918 pinto / ce",castelo,CE
Brenda Vargas,950.***.*** - 20,0.0,,Endereço inválido,Desconhecido,Desconhecido
Antony Caldeira,346.***.*** - 01,0.0,,Endereço inválido,Desconhecido,Desconhecido
Luiz Fernando Dias,184.***.*** - 32,-1.0,2013-12-29,"vereda de ferreira, 76
cruzeiro
23294-846 freitas / sp",cruzeiro,SP
Rodrigo Souza,398.***.*** - 92,-1.0,2014-12-07,"colônia moura, 17
vila primeiro de maio
54849-906 cardoso / ms",vila primeiro de maio,MS
Mateus Alves,791.***.*** - 10,-1.0,2005-10-23,"morro pacheco, 91
laranjeiras
59370938 da paz / rs",laranjeiras,RS
Larissa Marques,197.***.*** - 10,0.0,2012-07-27,"alameda jesus, 7
maria helena
00335591 da luz da mata / am",maria helena,AM
Calebe Cirino,135.***.*** - 05,0.0,2008-06-25,"favela de aparecida, 233
jonas veiga
20001493 das neves / ac",jonas veiga,AC
Henrique Da Costa,176.***.*** - 75,0.0,2010-10-04,Desconhecido,vila nova cachoeirinha 1ª seção,GO
Srta. Julia Carvalho,421.***.*** - 76,0.0,2016-04-05,"quadra de andrade, 491
jaqueline
20822-344 viana / mg",jaqueline,MG
,741.***.*** - 40,0.0,2018-05-31,"núcleo vasconcelos, 31
vista alegre
03853-492 dias / es",vista alegre,ES
Thales Montenegro,196.***.*** - 48,0.0,2008-06-13,"pátio abreu, 97
vila pilar
58922925 campos paulista / sp",vila pilar,SP
,429.***.*** - 73,-1.0,2012-10-10,Desconhecido,vila das oliveiras,SP
Diogo Sousa,658.***.*** - 89,0.0,2012-04-16,"travessa de marques, 1
santa rosa
63189492 abreu / es",santa rosa,ES
,736.***.*** - 52,0.0,2008-07-11,"aeroporto albuquerque, 24
mangueiras
99122293 freitas / ms",mangueiras,MS
Júlia Aragão,962.***.*** - 56,-1.0,2010-11-11,"setor nicolas cirino, 60
conjunto floramar
03910-606 pereira / pa",conjunto floramar,PA
Catarina Silveira,659.***.*** - 21,0.0,2018-06-29,"conjunto pedro miguel duarte
planalto
72444-638 cardoso da mata / al",planalto,AL
Dr. Ravi Lucca Farias,091.***.*** - 84,-1.0,2007-09-16,Desconhecido,bairro das indústrias ii,ES
Julia Gonçalves,613.***.*** - 20,-1.0,2006-10-14,"passarela de pereira, 3
ipe
96868-707 cardoso / ba",ipe,BA
Pedro Henrique Barbosa,460.***.*** - 49,-1.0,2017-09-13,Endereço inválido,Desconhecido,Desconhecido
Srta. Liz Albuquerque,802.***.*** - 71,0.0,2009-07-19,"jardim de monteiro, 32
vila copacabana
45532-947 fogaça de campos / to",vila copacabana,TO
Ana Laura Azevedo,381.***.*** - 88,0.0,2011-07-23,"sítio fonseca, 24
vila pinho
41902-970 alves da mata / ma",vila pinho,MA
,726.***.*** - 17,0.0,2006-04-06,"quadra teixeira, 786
vila real 2ª seção
34030-705 alves / rj",vila real 2ª seção,RJ
Maria Laura Da Rocha,750.***.*** - 74,0.0,2007-01-15,Desconhecido,vila nova dos milionarios,MT
Lucas Gabriel Caldeira,620.***.*** - 31,-1.0,2006-11-19,"trecho de brito, 53
são pedro
36660090 nunes / rs",são pedro,RS
Carlos Eduardo Farias,073.***.*** - 07,0.0,2007-02-12,"parque de cirino, 36
vila nova dos milionarios
77974069 das neves / ba",vila nova dos milionarios,BA
Lunna Carvalho,489.***.*** - 04,-1.0,2018-10-10,"trecho agatha borges
unidas
03454-304 costela das flores / al",unidas,AL
Joana Moreira,631.***.*** - 71,-1.0,2010-12-18,"conjunto azevedo, 2
outro
41124-298 melo / mg",outro,MG
Heloísa Monteiro,975.***.*** - 61,-1.0,2008-12-27,Desconhecido,vila nossa senhora do rosário,TO
Sr. Kevin Mendonça,372.***.*** - 65,0.0,2007-03-08,"jardim farias, 9
santo andré
19647382 silveira / pe",santo andré,PE
Stella Carvalho,952.***.*** - 76,0.0,2016-10-04,"lago ribeiro, 6
jardim américa
39307324 souza / rn",jardim américa,RN
Diego Costela,812.***.*** - 95,-1.0,2008-09-17,"colônia costa, 81
grotinha
72157-418 cassiano grande / ac",grotinha,AC
Amanda Gomes,351.***.*** - 10,0.0,2009-02-17,"conjunto de teixeira, 928
ermelinda
08574-064 lopes de cunha / ms",ermelinda,MS
Sr. Dom Da Conceição,289.***.*** - 41,0.0,2014-04-25,"lago de câmara, 781
jardim montanhês
19959-160 cirino grande / ba",jardim montanhês,BA
Ana Azevedo,582.***.*** - 05,0.0,,"morro de siqueira
minaslandia
68848-984 novais do sul / am",minaslandia,AM
Ravi Lucca Marques,705.***.*** - 01,0.0,2018-05-20,"favela de fonseca, 20
vila sumaré
09572052 costela paulista / pb",vila sumaré,PB
Kevin Pinto,193.***.*** - 82,-1.0,2010-10-10,"largo de pacheco, 66
apolonia
96015-907 lopes da prata / mg",apolonia,MG
Erick Barros,745.***.*** - 04,0.0,2007-08-15,"núcleo fernanda da mota, 12
jardim américa
70424-217 lima / sp",jardim américa,SP
Mariane Sousa,439.***.*** - 46,0.0,,"estação vieira, 96
conjunto floramar
96450472 vasconcelos / pa",conjunto floramar,PA
Ana Vitória Macedo,248.***.*** - 40,-1.0,2011-09-09,"alameda nathan da mota, 27
vila da luz
42594-952 abreu / pb",vila da luz,PB
Léo Sales,875.***.*** - 00,0.0,2016-12-01,"vale abreu, 29
solar do barreiro
40264321 borges / df",solar do barreiro,DF
Davi Miguel Sousa,805.***.*** - 49,-1.0,2006-10-19,"vale azevedo, 1
palmeiras
05862-264 cavalcante do campo / es",palmeiras,ES
Sr. Anthony Ramos,682.***.*** - 00,0.0,2008-08-13,Desconhecido,barão homem de melo 3ª seção,MT
Daniela Albuquerque,589.***.*** - 85,0.0,,"condomínio de da costa, 83
vila copasa
53983017 moura do oeste / ma",vila copasa,MA
Oliver Da Rosa,713.***.*** - 97,0.0,2009-03-18,"travessa da rocha, 64
havaí
85277802 pacheco / ba",havaí,BA
Isabel Da Luz,236.***.*** - 43,0.0,2013-11-02,"favela cavalcanti, 66
são pedro
45158964 da rocha grande / to",são pedro,TO
Larissa Marques,976.***.*** - 67,-1.0,2016-10-25,Desconhecido,conjunto califórnia ii,PR
Laís Rodrigues,160.***.*** - 03,-1.0,2010-09-23,Desconhecido,vila trinta e um de março,SC
Arthur Gabriel Azevedo,938.***.*** - 20,0.0,2011-07-26,"via nicole moura, 84
serra verde
39884-227 correia de silva / rn",serra verde,RN
,812.***.*** - 37,0.0,2012-06-04,"vereda vasconcelos, 982
túnel de ibirité
38593-069 viana / ce",túnel de ibirité,CE
João Felipe Pereira,058.***.*** - 20,0.0,2015-05-18,Desconhecido,floramar,TO
Sra. Rebeca Ramos,073.***.*** - 92,0.0,2012-04-11,"quadra gomes, 94
beira linha
30662-917 nunes alegre / mt",beira linha,MT
Srta. Isabel Fernandes,524.***.*** - 60,0.0,2018-07-21,"trevo de da cunha, 6
floramar
03108536 monteiro / rj",floramar,RJ
,978.***.*** - 37,0.0,2006-04-07,"lago camargo
vila copacabana
11642136 siqueira de das neves / es",vila copacabana,ES
Yago Barros,257.***.*** - 67,-1.0,2006-11-15,"chácara yuri martins, 25
jardim guanabara
77617-907 sá do oeste / sc",jardim guanabara,SC
Ana Luiza Da Rocha,478.***.*** - 30,0.0,2014-07-12,"morro peixoto, 58
miramar
33573992 cirino da prata / sc",miramar,SC
Sra. Maria Fernanda Rodrigues,243.***.*** - 61,0.0,2008-01-19,"rodovia de correia, 46
são luiz
01804-709 câmara / ma",são luiz,MA
Sr. Valentim Montenegro,195.***.*** - 84,0.0,2019-05-27,"pátio de dias
primeiro de maio
43114755 rios / ma",primeiro de maio,MA
Sr. Danilo Fernandes,516.***.*** - 30,0.0,2008-08-19,"praça nogueira, 85
tres marias
23605-813 pires de rodrigues / to",tres marias,TO
Sra. Lavínia Vasconcelos,326.***.*** - 95,0.0,2005-07-29,"estrada novaes, 592
guarani
77451948 gomes / es",guarani,ES
Anthony Dias,623.***.*** - 64,0.0,2019-05-31,"vale sampaio, 23
novo aarão reis
56088079 brito de goiás / sp",novo aarão reis,SP
Matheus Siqueira,853.***.*** - 05,0.0,2007-08-04,Desconhecido,vila nova gameleira 3ª seção,RJ
Hadassa Pinto,372.***.*** - 44,0.0,2010-05-15,"estrada joão pedro caldeira, 4
paquetá
60158-698 da costa / rn",paquetá,RN
Caroline Carvalho,478.***.*** - 22,-1.0,2004-12-17,"viaduto bruno da paz, 56
renascença
39666351 cunha da prata / sc",renascença,SC
Renan Machado,903.***.*** - 30,0.0,,"conjunto andré rezende, 5
solimoes
44546-548 andrade / rj",solimoes,RJ
,960.***.*** - 21,0.0,,Endereço inválido,Desconhecido,Desconhecido
Sra. Eloá Das Neves,896.***.*** - 00,0.0,,"viela asafe silveira, 62
vila são joão batista
88714-375 ribeiro / se",vila são joão batista,SE
Dante Da Cruz,134.***.*** - 08,-1.0,2008-09-21,Desconhecido,antonio ribeiro de abreu 1ª seção,SP
Bryan Sampaio,765.***.*** - 68,-1.0,2010-12-15,"setor sales, 732
vila jardim leblon
38373-043 da costa paulista / mg",vila jardim leblon,MG
